Country,2016
Canada,7.404
Mexico,6.778
United States,7.104
Brazil,6.952
Germany,6.994
South Korea,5.835
Russia,5.856
China,5.245
Philippines,5.279
Haiti,4.028
Cambodia,3.907
Greece,5.033
