Country Name,GDP 2015,GDP 2016,GDP 2017,Country Name,GDP 2015,GDP 2016,GDP 2017
Euro area,34411.25474,35180.74958,37034.08537,Indonesia,3331.695128,3562.845756,3836.913814
Eritrea,,,,Vietnam,2085.101484,2192.214539,2365.621666
Spain,25817.38661,26622.29914,28208.26105,Turkey,10948.72461,10820.63384,10499.74557
Estonia,17412.44867,18228.05825,20200.37559,Nigeria,2730.430324,2175.99967,1968.559588
Ethiopia,639.3043597,716.8800387,768.0104163,Bhutan,2829.891245,3012.961401,3390.714075
European Union,32265.08171,32379.64746,33864.16606,Azerbaijan,5500.320497,3880.738731,4147.089716
Fragile and conflict affected situations,1604.237236,1505.74078,1645.144457,Pakistan,1356.667731,1368.454326,1466.843096
Finland,42494.65662,43493.41934,45804.65421,Jordan,4097.411436,4109.574819,4168.641604
Fiji,5390.745258,5647.347365,6006.360622,Montenegro,6514.272695,7028.936577,7784.06529
France,36613.37522,36962.22229,38679.12715,China,8033.388043,8078.790474,8759.041578
Faroe Islands,52404.65933,55822.91472,,Zambia,1332.194321,1280.578447,1534.865371
"Micronesia, Fed. Sts.",2894.345011,2993.200563,3018.396899,Romania,8977.498544,9567.097782,10792.95628
Gabon,7381.746749,6979.709196,7212.535744,Serbia,5585.117808,5756.381194,6284.192672
United Kingdom,44472.1517,40539.91961,39932.06029,Portugal,19252.63495,19977.39849,21291.43088
Georgia,3756.383768,3857.281728,4045.41705,Latvia,13639.69412,14133.68295,15684.55852
Ghana,1766.005701,1931.38947,2025.885857,Philippines,2867.15199,2941.21204,2981.934151
Gibraltar,,,,Morocco,2875.257985,2897.66344,3036.171062
Guinea,769.2560137,733.0207588,821.6514609,Albania,3952.830781,4124.108543,4532.889198
"Gambia, The",668.3812029,671.1052855,672.7805341,Bosnia and Herzegovina,4727.277546,4994.68314,5394.59122
Guinea-Bissau,603.1585129,661.0076549,736.7255662,Dominican Republic,6691.71692,6957.564507,7222.554044
Equatorial Guinea,11278.92894,9244.051798,9738.434224,Mongolia,3918.579174,3660.150746,3671.948419
Greece,18167.77372,18116.45962,18883.46007,Greece,18167.77372,18116.45962,18883.46007
Grenada,9096.870646,9628.347487,10163.62985,Lebanon,7649.832611,7634.946544,7838.343385
Greenland,44536.40131,48295.56244,,Hungary,12503.68207,12839.58454,14278.8745
Guatemala,3923.573344,4140.590064,4470.610798,Honduras,2286.200039,2326.297027,2432.935364
Guam,35278.92594,35550.56428,35664.50168,Tajikistan,929.0958572,802.5180041,806.0415731
Guyana,4166.134826,4542.622067,4586.054572,Tunisia,3859.814436,3698.565075,3494.318864
High income,40165.46132,40763.08586,42346.17325,Bangladesh,1248.453398,1401.620628,1563.994082
"Hong Kong SAR, China",42431.88828,43734.24999,46220.50455,Iran,4916.085938,5265.906635,5627.749268
Honduras,2286.200039,2326.297027,2432.935364,Ukraine,2124.662666,2187.731997,2640.675677
Heavily indebted poor countries (HIPC),919.6013738,916.401454,990.5868696,Iraq,4989.803075,4649.468115,5143.661232
Croatia,11780.13124,12366.82154,13383.6835,South Africa,5733.122569,5262.052886,6120.5068
