Djibouti,11.09399986,11.04599953,11.16399956,Peru,Belarus,5.913000107,5.840000153,5.650000095
Dominica,,,,Belarus,Poland,7.500999928,6.160999775,4.887000084
Denmark,6.168000221,6.181000233,5.743000031,Poland,Malaysia,3.099999905,3.440000057,3.410000086
Dominican Republic,7.605000019,7.28399992,5.831999779,Malaysia,Croatia,16.17499924,13.10299969,11.20800018
Algeria,11.20600033,10.20199966,11.99600029,Croatia,Libya,16.09499931,16.23900032,17.12199974
East Asia & Pacific (excluding high income),4.092932805,4.003355328,3.918121571,Libya,Russia,5.571000099,5.559000015,5.211999893
Early-demographic dividend,4.656762029,4.658256587,4.540494823,Russia,Jamaica,13.51099968,13.19200039,11.6590004
East Asia & Pacific,4.063466343,3.967655032,3.870646676,Jamaica,Cyprus,14.90799999,12.94999981,11.05200005
Europe & Central Asia (excluding high income),7.543797504,7.505299927,7.221598195,North Cyprus,Algeria,11.20600033,10.20199966,11.99600029
Europe & Central Asia,8.542868584,8.075992432,7.452521525,Cyprus,Turkmenistan,3.839999914,3.799000025,3.694999933
Ecuador,3.615999937,4.597000122,3.835999966,Algeria,Mauritius,7.409999847,6.813000202,6.751999855
Egypt,13.05200005,12.40699959,11.77000046,Kosovo,Estonia,6.186999798,6.762000084,5.760000229
Euro area,10.83422418,10.01863765,9.04930057,Turkmenistan,Indonesia,4.513999939,4.301000118,4.184999943
Eritrea,6.80700016,6.684000015,6.497000217,Mauritius,Vietnam,1.858999968,1.850999951,1.886000037
Spain,22.05699921,19.63500023,17.22400093,Estonia,Turkey,10.23600006,10.83899975,10.81900024
Estonia,6.186999798,6.762000084,5.760000229,Indonesia,Nigeria,5.313000202,6.236999989,6.013000011
Ethiopia,2.013999939,1.934999943,1.809999943,Vietnam,Bhutan,2.450000048,2.338999987,2.170000076
European Union,9.382377042,8.534692129,7.612139277,Turkey,Azerbaijan,4.960000038,5,5
Fragile and conflict affected situations,5.791066888,5.894258427,5.825866877,Kyrgyzstan,Pakistan,3.565999985,3.440000057,3.180999994
Finland,9.376000404,8.81799984,8.640000343,Nigeria,Jordan,13.07499981,15.27499962,14.87899971
Fiji,4.547999859,4.318999767,4.143000126,Bhutan,Montenegro,17.54400063,17.72299957,16.07099915
France,10.35900021,10.05700016,9.397000313,Azerbaijan,China,4.599999905,4.5,4.400000095
