Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Malta,"International migrant stock, total",1712,,,,,6320,,,,,10401,,,,,8104,,,,,6313,,,,,4919,,,,,15077,..,..,..,..,17740,,,,,21521,,,,,24560,,,,,33084,,,,,41442,,,
Marshall Islands,"International migrant stock, total",846,,,,,936,,,,,1035,,,,,1144,,,,,1265,,,,,1399,,,,,1158,..,..,..,..,1480,,,,,1891,,,,,2417,,,,,3089,,,,,3284,,,
Mauritania,"International migrant stock, total",12058,,,,,15592,,,,,20163,,,,,26073,,,,,33716,,,,,43599,,,,,111650,..,..,..,..,89562,,,,,57366,,,,,58119,,,,,84679,,,,,138162,,,
Mauritius,"International migrant stock, total",10238,,,,,10507,,,,,10517,,,,,10199,,,,,9686,,,,,9198,,,,,3613,..,..,..,..,7493,,,,,15543,,,,,19647,,,,,24836,,,,,28585,,,
Mexico,"International migrant stock, total",223245,,,,,205886,,,,,195369,,,,,230346,,,,,294258,,,,,479104,,,,,695674,..,..,..,..,458549,,,,,538051,,,,,712487,,,,,969538,,,,,1193155,,,
"Micronesia, Fed. Sts.","International migrant stock, total",5848,,,,,5563,,,,,5292,,,,,5034,,,,,4542,,,,,4098,,,,,3685,..,..,..,..,3342,,,,,3116,,,,,2905,,,,,2805,,,,,2756,,,
Moldova,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,544162,..,..,..,..,367231,,,,,247828,,,,,173957,,,,,157668,,,,,142904,,,
Monaco,"International migrant stock, total",15380,,,,,15260,,,,,15530,,,,,16296,,,,,17466,,,,,18719,,,,,20359,..,..,..,..,21060,,,,,21787,,,,,21312,,,,,21132,,,,,21042,,,
Mongolia,"International migrant stock, total",3684,,,,,4072,,,,,4501,,,,,4975,,,,,5499,,,,,6078,,,,,6718,..,..,..,..,7424,,,,,8206,,,,,11475,,,,,16061,,,,,17620,,,
Montenegro,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,..,,,,,78507,,,,,82541,,,
Morocco,"International migrant stock, total",394340,,,,,223034,,,,,126146,,,,,90479,,,,,69130,,,,,59972,,,,,54895,..,..,..,..,50360,,,,,53034,,,,,54379,,,,,70909,,,,,88511,,,
Mozambique,"International migrant stock, total",8949,,,,,8022,,,,,7791,,,,,37011,,,,,104807,,,,,60894,,,,,122332,..,..,..,..,168256,,,,,195702,,,,,204830,,,,,214612,,,,,222928,,,
Myanmar,"International migrant stock, total",286559,,,,,279484,,,,,272584,,,,,265854,,,,,188051,,,,,133053,,,,,133545,..,..,..,..,113663,,,,,98011,,,,,83025,,,,,76414,,,,,73308,,,
Namibia,"International migrant stock, total",27218,,,,,34460,,,,,43628,,,,,55236,,,,,69932,,,,,88539,,,,,120641,..,..,..,..,115372,,,,,134403,,,,,106274,,,,,102405,,,,,93888,,,
Nauru,"International migrant stock, total",410,,,,,951,,,,,1596,,,,,2634,,,,,3217,,,,,3645,,,,,2815,..,..,..,..,2605,,,,,2394,,,,,2253,,,,,2112,,,,,3178,,,
Nepal,"International migrant stock, total",337636,,,,,344550,,,,,345489,,,,,299373,,,,,251180,,,,,313922,,,,,429974,..,..,..,..,690225,,,,,717900,,,,,679457,,,,,578657,,,,,518278,,,
Netherlands,"International migrant stock, total",446620,,,,,341683,,,,,261402,,,,,343752,,,,,490976,,,,,761421,,,,,1182263,..,..,..,..,1346164,,,,,1556337,,,,,1736127,,,,,1832510,,,,,1979486,,,
New Caledonia,"International migrant stock, total",10979,,,,,17630,,,,,23392,,,,,32108,,,,,33811,,,,,34648,,,,,37673,..,..,..,..,43662,,,,,49651,,,,,55405,,,,,61158,,,,,64290,,,
New Zealand,"International migrant stock, total",333859,,,,,386145,,,,,409446,,,,,492857,,,,,470394,,,,,480043,,,,,518047,..,..,..,..,588617,,,,,678813,,,,,839952,,,,,947443,,,,,1039736,,,
Nicaragua,"International migrant stock, total",12384,,,,,15079,,,,,20896,,,,,22675,,,,,25533,,,,,42205,,,,,41421,..,..,..,..,26619,,,,,30389,,,,,34918,,,,,37333,,,,,40262,,,
Niger,"International migrant stock, total",55008,,,,,63911,,,,,74254,,,,,86271,,,,,100233,,,,,116455,,,,,115464,..,..,..,..,145999,,,,,122260,,,,,124461,,,,,126464,,,,,189255,,,
Nigeria,"International migrant stock, total",94133,,,,,121891,,,,,157835,,,,,704377,,,,,1314845,,,,,347909,,,,,456621,..,..,..,..,462999,,,,,487882,,,,,648019,,,,,920118,,,,,1199115,,,
North Macedonia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,95142,..,..,..,..,109343,,,,,125665,,,,,127667,,,,,129701,,,,,130730,,,
Northern Mariana Islands,"International migrant stock, total",2648,,,,,3077,,,,,3576,,,,,4155,,,,,4828,,,,,15870,,,,,26593,..,..,..,..,32376,,,,,40122,,,,,37542,,,,,24168,,,,,21648,,,
Norway,"International migrant stock, total",61591,,,,,69216,,,,,78507,,,,,98597,,,,,123248,,,,,147660,,,,,192587,..,..,..,..,233302,,,,,292440,,,,,361144,,,,,526799,,,,,741813,,,
Oman,"International migrant stock, total",43656,,,,,52362,,,,,62804,,,,,75328,,,,,146043,,,,,282251,,,,,304000,..,..,..,..,539643,,,,,623608,,,,,666160,,,,,816221,,,,,1844978,,,
Pakistan,"International migrant stock, total",6350296,,,,,5698452,,,,,5105556,,,,,4574348,,,,,5012524,,,,,6288210,,,,,6208204,..,..,..,..,3669308,,,,,4181912,,,,,3171132,,,,,3941586,,,,,3628956,,,
Palau,"International migrant stock, total",318,,,,,370,,,,,430,,,,,500,,,,,581,,,,,1310,,,,,2801,..,..,..,..,4749,,,,,6310,,,,,6043,,,,,5787,,,,,5664,,,
Panama,"International migrant stock, total",68320,,,,,63026,,,,,58561,,,,,52791,,,,,47894,,,,,54321,,,,,62744,..,..,..,..,70848,,,,,83410,,,,,117563,,,,,157309,,,,,184710,,,
Papua New Guinea,"International migrant stock, total",20189,,,,,31694,,,,,49755,,,,,43690,,,,,34088,,,,,40373,,,,,32720,..,..,..,..,33526,,,,,25101,,,,,29967,,,,,25424,,,,,25782,,,
Paraguay,"International migrant stock, total",50010,,,,,56449,,,,,73061,,,,,100929,,,,,145743,,,,,174301,,,,,195884,..,..,..,..,186570,,,,,176608,,,,,168243,,,,,160299,,,,,156462,,,
Peru,"International migrant stock, total",66524,,,,,66892,,,,,67104,,,,,67097,,,,,66954,,,,,61845,,,,,65025,..,..,..,..,56732,,,,,66293,,,,,77541,,,,,84066,,,,,90881,,,
Philippines,"International migrant stock, total",219676,,,,,219555,,,,,217435,,,,,162045,,,,,134439,,,,,145508,,,,,154071,..,..,..,..,207345,,,,,318095,,,,,257468,,,,,208599,,,,,211862,,,
Poland,"International migrant stock, total",2424881,,,,,2249668,,,,,2088027,,,,,1807979,,,,,1544789,,,,,1319912,,,,,1127771,..,..,..,..,964725,,,,,825251,,,,,722509,,,,,642417,,,,,619403,,,
Portugal,"International migrant stock, total",38899,,,,,62876,,,,,101633,,,,,164280,,,,,265543,,,,,346232,,,,,435782,..,..,..,..,532822,,,,,651472,,,,,771184,,,,,762825,,,,,837257,,,
Puerto Rico,"International migrant stock, total",64063,,,,,111040,,,,,188959,,,,,227027,,,,,271449,,,,,295869,,,,,321909,..,..,..,..,338067,,,,,355038,,,,,352144,,,,,304969,,,,,274972,,,
Qatar,"International migrant stock, total",14400,,,,,34091,,,,,68339,,,,,119182,,,,,165426,,,,,281907,,,,,309753,..,..,..,..,361673,,,,,359697,,,,,646026,,,,,1456413,,,,,1687640,,,
Romania,"International migrant stock, total",330878,,,,,329228,,,,,283837,,,,,239035,,,,,201305,,,,,169530,,,,,135825,..,..,..,..,135037,,,,,126949,,,,,145162,,,,,155982,,,,,226943,,,
Russian Federation,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,11524948,..,..,..,..,11928927,,,,,11900297,,,,,11667588,,,,,11194710,,,,,11643276,,,
Rwanda,"International migrant stock, total",28531,,,,,33441,,,,,35759,,,,,46732,,,,,53094,,,,,81111,,,,,159869,..,..,..,..,233200,,,,,347076,,,,,432797,,,,,436787,,,,,441525,,,
Samoa,"International migrant stock, total",3430,,,,,3442,,,,,3373,,,,,3742,,,,,4347,,,,,2422,,,,,3357,..,..,..,..,4694,,,,,5998,,,,,5746,,,,,5122,,,,,4929,,,
San Marino,"International migrant stock, total",7527,,,,,7718,,,,,7914,,,,,8115,,,,,8320,,,,,8530,,,,,3310,..,..,..,..,3659,,,,,4045,,,,,4218,,,,,4399,,,,,4717,,,
Sao Tome and Principe,"International migrant stock, total",7436,,,,,7253,,,,,7074,,,,,6900,,,,,6730,,,,,6252,,,,,5582,..,..,..,..,4936,,,,,4365,,,,,3433,,,,,2700,,,,,2394,,,
Saudi Arabia,"International migrant stock, total",63389,,,,,155823,,,,,356996,,,,,928827,,,,,1920478,,,,,3401020,,,,,4998445,..,..,..,..,5122702,,,,,5263387,,,,,6501819,,,,,8429956,,,,,10185945,,,
Senegal,"International migrant stock, total",168020,,,,,174824,,,,,175917,,,,,154812,,,,,119128,,,,,170026,,,,,270410,..,..,..,..,287654,,,,,231901,,,,,238298,,,,,256092,,,,,263242,,,
Serbia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,99269,..,..,..,..,630221,,,,,856763,,,,,845120,,,,,826066,,,,,807441,,,
Seychelles,"International migrant stock, total",845,,,,,1455,,,,,2506,,,,,2934,,,,,3176,,,,,3438,,,,,3721,..,..,..,..,5148,,,,,6574,,,,,8997,,,,,11420,,,,,12791,,,
Sierra Leone,"International migrant stock, total",45915,,,,,58809,,,,,75574,,,,,93741,,,,,93033,,,,,92441,,,,,222242,..,..,..,..,105374,,,,,98241,,,,,149615,,,,,97452,,,,,91213,,,
Singapore,"International migrant stock, total",519246,,,,,525047,,,,,530873,,,,,529006,,,,,527453,,,,,619330,,,,,727262,..,..,..,..,991492,,,,,1351691,,,,,1710594,,,,,2164794,,,,,2543638,,,
Sint Maarten (Dutch part),"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,13100,,,,,26200,,,,,27295,,,
Slovak Republic,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,41295,..,..,..,..,69323,,,,,116376,,,,,130491,,,,,146319,,,,,177190,,,
Slovenia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,178077,..,..,..,..,174419,,,,,171018,,,,,197276,,,,,253786,,,,,235966,,,
Solomon Islands,"International migrant stock, total",3715,,,,,3895,,,,,4084,,,,,4282,,,,,4289,,,,,4270,,,,,4226,..,..,..,..,4178,,,,,3981,,,,,3271,,,,,2760,,,,,2585,,,
Somalia,"International migrant stock, total",11356,,,,,12136,,,,,13041,,,,,14048,,,,,1605620,,,,,774569,,,,,478294,..,..,..,..,19527,,,,,20087,,,,,20670,,,,,23995,,,,,25291,,,
South Africa,"International migrant stock, total",927656,,,,,945162,,,,,961496,,,,,962371,,,,,983303,,,,,1808198,,,,,1163883,..,..,..,..,1003807,,,,,1001825,,,,,1210936,,,,,1943099,,,,,3142511,,,
South Sudan,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,..,,,,,257905,,,,,824122,,,
Spain,"International migrant stock, total",210897,,,,,272201,,,,,355727,,,,,465542,,,,,609354,,,,,716881,,,,,821605,..,..,..,..,1020067,,,,,1657285,,,,,4107226,,,,,6280065,,,,,5852953,,,
Sri Lanka,"International migrant stock, total",1005317,,,,,1026891,,,,,1085423,,,,,885875,,,,,661917,,,,,494578,,,,,41561,..,..,..,..,40841,,,,,40132,,,,,39526,,,,,38959,,,,,38706,,,
St. Kitts and Nevis,"International migrant stock, total",3537,,,,,3103,,,,,2735,,,,,2664,,,,,2604,,,,,2908,,,,,3210,..,..,..,..,4248,,,,,5871,,,,,6682,,,,,7245,,,,,7443,,,
St. Lucia,"International migrant stock, total",2448,,,,,2681,,,,,2937,,,,,3217,,,,,3534,,,,,4343,,,,,5305,..,..,..,..,7152,,,,,9868,,,,,11468,,,,,12100,,,,,12771,,,
St. Martin (French part),"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,..,,,,,..,,,,,..,,,
St. Vincent and the Grenadines,"International migrant stock, total",2494,,,,,2391,,,,,2293,,,,,2199,,,,,2129,,,,,2920,,,,,3970,..,..,..,..,4135,,,,,4307,,,,,4395,,,,,4485,,,,,4577,,,
Sudan,"International migrant stock, total",241992,,,,,236369,,,,,279972,,,,,321780,,,,,718515,,,,,1407776,,,,,1402896,..,..,..,..,1053396,,,,,801883,,,,,541994,,,,,578363,,,,,503477,,,
Suriname,"International migrant stock, total",22463,,,,,19132,,,,,16294,,,,,13878,,,,,11820,,,,,14598,,,,,18031,..,..,..,..,22270,,,,,27506,,,,,33664,,,,,39713,,,,,46836,,,
Sweden,"International migrant stock, total",295618,,,,,393687,,,,,527153,,,,,578054,,,,,624824,,,,,654158,,,,,788767,..,..,..,..,936022,,,,,1003798,,,,,1125790,,,,,1384929,,,,,1639771,,,
Switzerland,"International migrant stock, total",714235,,,,,887150,,,,,1091990,,,,,1089203,,,,,1065788,,,,,1203202,,,,,1392282,..,..,..,..,1478829,,,,,1570756,,,,,1805437,,,,,2075182,,,,,2438702,,,
Syrian Arab Republic,"International migrant stock, total",276050,,,,,319431,,,,,367760,,,,,429290,,,,,497764,,,,,627729,,,,,714140,..,..,..,..,830610,,,,,832273,,,,,876410,,,,,1661922,,,,,875189,,,
Tajikistan,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,428900,..,..,..,..,348347,,,,,299266,,,,,280444,,,,,278152,,,,,275059,,,
Tanzania,"International migrant stock, total",477027,,,,,486241,,,,,505143,,,,,607887,,,,,557173,,,,,547608,,,,,574025,..,..,..,..,1106043,,,,,928180,,,,,770846,,,,,308600,,,,,261222,,,
Thailand,"International migrant stock, total",484839,,,,,409954,,,,,347394,,,,,344715,,,,,479387,,,,,406658,,,,,528693,..,..,..,..,809720,,,,,1257821,,,,,2163447,,,,,3224131,,,,,3913258,,,
Timor-Leste,"International migrant stock, total",7148,,,,,7705,,,,,8306,,,,,8953,,,,,7706,,,,,8307,,,,,8954,..,..,..,..,9743,,,,,10602,,,,,11286,,,,,10983,,,,,10834,,,
Togo,"International migrant stock, total",101291,,,,,121155,,,,,144915,,,,,148584,,,,,152345,,,,,156202,,,,,84844,..,..,..,..,101583,,,,,137891,,,,,203379,,,,,255262,,,,,276844,,,
Tonga,"International migrant stock, total",121,,,,,236,,,,,460,,,,,895,,,,,1741,,,,,3386,,,,,2911,..,..,..,..,3274,,,,,3684,,,,,4301,,,,,5022,,,,,5731,,,
Trinidad and Tobago,"International migrant stock, total",81018,,,,,70004,,,,,60495,,,,,61092,,,,,61514,,,,,55736,,,,,50666,..,..,..,..,45994,,,,,41753,,,,,44812,,,,,48226,,,,,49883,,,
Tunisia,"International migrant stock, total",169202,,,,,76356,,,,,51436,,,,,37912,,,,,37985,,,,,38029,,,,,37984,..,..,..,..,37867,,,,,36446,,,,,35040,,,,,43172,,,,,56701,,,
Turkey,"International migrant stock, total",947635,,,,,926865,,,,,376394,,,,,144529,,,,,784193,,,,,933014,,,,,1163686,..,..,..,..,1216173,,,,,1280963,,,,,1319236,,,,,1367034,,,,,2964916,,,
Turkmenistan,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,306500,..,..,..,..,273565,,,,,218498,,,,,213051,,,,,197979,,,,,196386,,,
Turks and Caicos Islands,"International migrant stock, total",180,,,,,291,,,,,469,,,,,756,,,,,1225,,,,,2506,,,,,5062,..,..,..,..,7039,,,,,9015,,,,,9945,,,,,10875,,,,,11688,,,
Tuvalu,"International migrant stock, total",372,,,,,363,,,,,355,,,,,347,,,,,339,,,,,331,,,,,318,..,..,..,..,263,,,,,217,,,,,183,,,,,154,,,,,141,,,
Uganda,"International migrant stock, total",771730,,,,,907723,,,,,948875,,,,,774582,,,,,676609,,,,,633291,,,,,558307,..,..,..,..,634620,,,,,634703,,,,,652968,,,,,529160,,,,,749471,,,
Ukraine,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,6892920,..,..,..,..,6172338,,,,,5527087,,,,,5050302,,,,,4818767,,,,,4834898,,,
United Arab Emirates,"International migrant stock, total",2194,,,,,25981,,,,,65827,,,,,312400,,,,,718479,,,,,1007837,,,,,1306574,..,..,..,..,1824118,,,,,2446675,,,,,3281036,,,,,7316611,,,,,8095126,,,
United Kingdom,"International migrant stock, total",1661888,,,,,2541943,,,,,2945896,,,,,3147977,,,,,3356904,,,,,3535927,,,,,3650286,..,..,..,..,4155293,,,,,4730165,,,,,5926156,,,,,7604583,,,,,8543120,,,
United States,"International migrant stock, total",10825599,,,,,11354439,,,,,11973787,,,,,13991349,,,,,16364410,,,,,19491741,,,,,23251026,..,..,..,..,28451053,,,,,34814053,,,,,39258293,,,,,44183643,,,,,46627102,,,
Uruguay,"International migrant stock, total",192155,,,,,195019,,,,,159962,,,,,131446,,,,,116786,,,,,103762,,,,,98116,..,..,..,..,93428,,,,,88871,,,,,82318,,,,,76263,,,,,71799,,,
Uzbekistan,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,1653000,..,..,..,..,1512577,,,,,1405250,,,,,1329345,,,,,1220149,,,,,1170899,,,
Vanuatu,"International migrant stock, total",2832,,,,,3059,,,,,3304,,,,,3569,,,,,3511,,,,,2752,,,,,2308,..,..,..,..,2461,,,,,2626,,,,,2800,,,,,2991,,,,,3187,,,
"Venezuela, RB","International migrant stock, total",509504,,,,,563247,,,,,589283,,,,,731423,,,,,966364,,,,,1032566,,,,,1025009,..,..,..,..,1019996,,,,,1013663,,,,,1070562,,,,,1331488,,,,,1404448,,,
Vietnam,"International migrant stock, total",4010,,,,,4216,,,,,4433,,,,,4661,,,,,38901,,,,,28153,,,,,28118,..,..,..,..,51262,,,,,56754,,,,,51768,,,,,61756,,,,,72793,,,
Virgin Islands (U.S.),"International migrant stock, total",12069,,,,,20342,,,,,33704,,,,,40390,,,,,48065,,,,,50029,,,,,51970,..,..,..,..,54241,,,,,56611,,,,,56647,,,,,56684,,,,,56721,,,
West Bank and Gaza,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,288332,..,..,..,..,281767,,,,,275202,,,,,266617,,,,,258032,,,,,255507,,,
"Yemen, Rep.","International migrant stock, total",159146,,,,,177076,,,,,197025,,,,,219222,,,,,259374,,,,,276039,,,,,118863,..,..,..,..,136515,,,,,143495,,,,,171073,,,,,285837,,,,,344131,,,
Zambia,"International migrant stock, total",360835,,,,,325507,,,,,303465,,,,,297072,,,,,278798,,,,,281906,,,,,279029,..,..,..,..,244338,,,,,321167,,,,,252749,,,,,149637,,,,,127915,,,
Zimbabwe,"International migrant stock, total",387173,,,,,448754,,,,,499069,,,,,484678,,,,,470728,,,,,513780,,,,,626821,..,..,..,..,431226,,,,,410041,,,,,392693,,,,,397891,,,,,398866,,,
Arab World,"International migrant stock, total",3324685,,,,,3349209,,,,,4012340,,,,,5495961,,,,,9834213,,,,,12733497,,,,,14168146,..,..,..,..,14871274,,,,,16216741,,,,,19323851,,,,,28555399,,,,,34764700,,,
Caribbean small states,"International migrant stock, total",187880,,,,,185362,,,,,190217,,,,,183279,,,,,181109,,,,,194282,,,,,205846,..,..,..,..,230403,,,,,257852,,,,,290233,,,,,321650,,,,,349562,,,
Central Europe and the Baltics,"International migrant stock, total",3294191,,,,,3075673,,,,,2830332,,,,,2470240,,,,,2136842,,,,,1850311,,,,,3815082,..,..,..,..,3665285,,,,,3279999,,,,,3336747,,,,,3374888,,,,,3394733,,,
Early-demographic dividend,"International migrant stock, total",30137637,,,,,29105070,,,,,27960372,,,,,27585627,,,,,30462688,,,,,37042383,,,,,42323294,..,..,..,..,37838479,,,,,38155943,,,,,39296469,,,,,45133896,,,,,50581758,,,
East Asia & Pacific,"International migrant stock, total",8810669,,,,,9065287,,,,,9747795,,,,,9777213,,,,,10464877,,,,,10905673,,,,,11562099,..,..,..,..,13375683,,,,,15674381,,,,,18768866,,,,,22841512,,,,,25557256,,,
East Asia & Pacific (excluding high income),"International migrant stock, total",3654785,,,,,3358527,,,,,3526661,,,,,2894083,,,,,2860501,,,,,2716501,,,,,2583562,..,..,..,..,3202727,,,,,4120191,,,,,5536825,,,,,7395657,,,,,8357168,,,
East Asia & Pacific (IDA & IBRD countries),"International migrant stock, total",3627647,,,,,3328131,,,,,3491275,,,,,2853395,,,,,2815900,,,,,2667879,,,,,2530977,..,..,..,..,3149235,,,,,4065406,,,,,5478538,,,,,7333879,,,,,8291158,,,
Euro area,"International migrant stock, total",6146651,,,,,7391692,,,,,8519702,,,,,9537875,,,,,10545351,,,,,11358050,,,,,20064759,..,..,..,..,22768012,,,,,26129209,,,,,33016886,,,,,39519428,,,,,40935248,,,
Europe & Central Asia,"International migrant stock, total",13362297,,,,,15548394,,,,,16671090,,,,,17408604,,,,,19024605,,,,,20105272,,,,,58408632,..,..,..,..,61316132,,,,,64005283,,,,,71714401,,,,,79845132,,,,,85288550,,,
Europe & Central Asia (excluding high income),"International migrant stock, total",1347709,,,,,1328285,,,,,735465,,,,,461893,,,,,1066937,,,,,1187183,,,,,29836824,..,..,..,..,29125371,,,,,27780057,,,,,26818942,,,,,25929753,,,,,28128832,,,
Europe & Central Asia (IDA & IBRD countries),"International migrant stock, total",3772590,,,,,3577953,,,,,2823492,,,,,2269872,,,,,2611726,,,,,2507095,,,,,31440033,..,..,..,..,30764181,,,,,29190606,,,,,28120724,,,,,27145418,,,,,29325118,,,
European Union,"International migrant stock, total",11492337,,,,,13502949,,,,,14940525,,,,,15872830,,,,,16827690,,,,,17594239,,,,,26957449,..,..,..,..,30456543,,,,,34332802,,,,,42706560,,,,,51301015,,,,,54070726,,,
Fragile and conflict affected situations,"International migrant stock, total",4635265,,,,,5451809,,,,,6111563,,,,,6451874,,,,,9020279,,,,,9144619,,,,,8876708,..,..,..,..,9819937,,,,,8603470,,,,,8680442,,,,,10439570,,,,,12225004,,,
Heavily indebted poor countries (HIPC),"International migrant stock, total",6384593,,,,,7012884,,,,,7427899,,,,,7540901,,,,,9846539,,,,,9999691,,,,,12008148,..,..,..,..,12557332,,,,,10632626,,,,,10419014,,,,,10450770,,,,,11941421,,,
High income,"International migrant stock, total",32761862,,,,,36765838,,,,,40531724,,,,,45637638,,,,,51911928,,,,,59131390,,,,,75764201,..,..,..,..,87365716,,,,,101030088,,,,,119364058,,,,,144398449,,,,,157682028,,,
IBRD only,"International migrant stock, total",25874835,,,,,24758255,,,,,23843299,,,,,22888585,,,,,23879273,,,,,26553302,,,,,52688929,..,..,..,..,51254646,,,,,50847935,,,,,52142732,,,,,55337146,,,,,62735304,,,
IDA & IBRD total,"International migrant stock, total",41342509,,,,,40424256,,,,,39569771,,,,,38476218,,,,,42869087,,,,,46241124,,,,,78070527,..,..,..,..,74739613,,,,,72738421,,,,,72943636,,,,,78412893,,,,,87196231,,,
IDA blend,"International migrant stock, total",7161732,,,,,6672175,,,,,6264347,,,,,6288547,,,,,7344614,,,,,7737394,,,,,10267704,..,..,..,..,7594210,,,,,8057815,,,,,7151387,,,,,8382633,,,,,8514113,,,
IDA only,"International migrant stock, total",8305942,,,,,8993826,,,,,9462125,,,,,9299086,,,,,11645200,,,,,11950428,,,,,15113894,..,..,..,..,15890757,,,,,13832671,,,,,13649517,,,,,14693114,,,,,15946814,,,
IDA total,"International migrant stock, total",15467674,,,,,15666001,,,,,15726472,,,,,15587633,,,,,18989814,,,,,19687822,,,,,25381598,..,..,..,..,23484967,,,,,21890486,,,,,20800904,,,,,23075747,,,,,24460927,,,
Late-demographic dividend,"International migrant stock, total",7702020,,,,,7623435,,,,,8195912,,,,,8173521,,,,,8835172,,,,,9314147,,,,,28119318,..,..,..,..,29407057,,,,,30615531,,,,,33431529,,,,,40591170,,,,,46599687,,,
Latin America & Caribbean,"International migrant stock, total",6097596,,,,,5938660,,,,,5762919,,,,,5757439,,,,,6009936,,,,,6200740,,,,,6957619,..,..,..,..,6455289,,,,,6311653,,,,,6944332,,,,,7968729,,,,,8946249,,,
Latin America & Caribbean (excluding high income),"International migrant stock, total",5535989,,,,,5331919,,,,,5104281,,,,,5090436,,,,,5309936,,,,,5465738,,,,,6161667,..,..,..,..,5576939,,,,,5344388,,,,,5818774,,,,,6688980,,,,,7555679,,,
Latin America & the Caribbean (IDA & IBRD countries),"International migrant stock, total",5847076,,,,,5629817,,,,,5353269,,,,,5339038,,,,,5562747,,,,,5734915,,,,,6461378,..,..,..,..,5925237,,,,,5746878,,,,,6351251,,,,,7359053,,,,,8353697,,,
Least developed countries: UN classification,"International migrant stock, total",6763999,,,,,7297329,,,,,7541223,,,,,7074320,,,,,9224904,,,,,9139505,,,,,11073226,..,..,..,..,11708074,,,,,10073307,,,,,9803046,,,,,10009470,,,,,11940491,,,
Low & middle income,"International migrant stock, total",39123084,,,,,38450296,,,,,37850142,,,,,37083344,,,,,41804942,,,,,45482815,,,,,76504803,..,..,..,..,73082616,,,,,71248795,,,,,71425284,,,,,76835545,,,,,85510653,,,
Low income,"International migrant stock, total",4763013,,,,,5399763,,,,,5680762,,,,,5552254,,,,,7343084,,,,,6633639,,,,,8884567,..,..,..,..,9870564,,,,,8352023,,,,,8288052,,,,,9131629,,,,,10202358,,,
Lower middle income,"International migrant stock, total",23653848,,,,,22538712,,,,,21733365,,,,,21226213,,,,,22613637,,,,,23247814,,,,,32296830,..,..,..,..,28069091,,,,,26826695,,,,,24879420,,,,,25613902,,,,,26043775,,,
Middle East & North Africa,"International migrant stock, total",4293431,,,,,4434237,,,,,5200860,,,,,6738474,,,,,9454460,,,,,14876020,,,,,18100609,..,..,..,..,18442443,,,,,20000241,,,,,23172852,,,,,32601004,,,,,38864804,,,
Middle East & North Africa (excluding high income),"International migrant stock, total",2865145,,,,,2589538,,,,,2726437,,,,,3124143,,,,,3996929,,,,,6997547,,,,,8286453,..,..,..,..,7656449,,,,,8067043,,,,,8426403,,,,,10068711,,,,,11427673,,,
Middle East & North Africa (IDA & IBRD countries),"International migrant stock, total",2374895,,,,,2044873,,,,,2141931,,,,,2498190,,,,,3304899,,,,,6211951,,,,,7998121,..,..,..,..,7374682,,,,,7791841,,,,,8159786,,,,,9810679,,,,,11172166,,,
Middle income,"International migrant stock, total",34360071,,,,,33050533,,,,,32169380,,,,,31531090,,,,,34461858,,,,,38849176,,,,,67620236,..,..,..,..,63212052,,,,,62896772,,,,,63137232,,,,,67703916,,,,,75308295,,,
North America,"International migrant stock, total",13600652,,,,,14386074,,,,,15239398,,,,,17523529,,,,,20189177,,,,,23407216,,,,,27600027,..,..,..,..,33332507,,,,,40343635,,,,,45355554,,,,,51213753,,,,,54481730,,,
Not classified,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,..,,,,,..,,,,,..,,,
