Country Name,2015,2016,2017
Canada,509.979,502.388,532.802
United States,4754.048,4821.529,5263.255
South Korea,347.879,371.149,411.689
Mexico,186.055,179.484,
Germany,1251.146,1307.905,1387.042
Russian Federation,8.842239882,7.862231,9.449201
Cambodia,10.70714307,12.04483014,14.18308908
China,6.45936871,6.809299103,
Brazil,0.768951484,0.800506845,0.832648695
