Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,477.199,484.81800000000004,445.31300000000005,501.431,552.47,570.109,574.887,564.62,509.97900000000004,502.38800000000003
United States,3867.405,3781.222,3318.696,3515.7729999999997,3708.7070000000003,3888.47,4281.928,4526.89,4754.048,4821.529
Korea (South),278.198,247.262,214.63400000000001,256.154,290.72,303.158,317.22,347.014,347.879,371.149
Mexico,126.46600000000001,139.556,112.288,135.866,150.586,152.15200000000002,169.579,179.947,186.055,179.484
Germany,1200.351,1326.069,1233.156,1196.24,1341.915,1290.136,1379.493,1431.031,1251.146,1307.905
Russian Federation,5502900000000.0,6529200000000.0,5028000000000.0,6042500000000.0,8388430000000.0,9367400000000.0,9439600000000.0,10475700000000.0,8842240000000.0,7862230000000.0
Cambodia,3398030000000.0,4429850000000.0,4154020000000.0,4706230000000.0,5287420000000.0,6281730000000.0,7407590000000.0,9863730000000.0,10707100000000.0,12044800000000.0
China,2639180000000.0,3224830000000.0,3593020000000.0,4208580000000.0,5032030000000.0,,5874920000000.0,6228800000000.0,6459370000000.0,6809300000000.0
Brazil,429136000000.0,481796000000.0,480542000000.0,529386000000.0,622327000000.0,657285000000.0,716660000000.0,737492000000.0,768951000000.0,800507000000.0
