Country Name ,2015,2016,2017
Canada,7.427,7.404,7.315999985
Mexico,7.187,6.778,6.578000069
United States,7.119,7.104,6.993000031
Brazil,6.983,6.952,6.635000229
Germany,6.75,6.994,6.951000214
South Korea,5.984,5.835,5.837999821
Russia,5.716,5.856,5.962999821
China,5.14,5.245,5.272999763
Philippines,5.073,5.279,5.429999828
Haiti,4.518,4.028,3.602999926
Cambodia,3.819,3.907,4.168000221
Greece,4.857,5.033,5.227000237
